deltax is 0.0314159
When a6 = -1.07
alpha        Kr        Ki        
1.313    0.08231    1.266
1.319    0.08434    1.271
1.326    0.08641    1.276
1.332    0.08851    1.281
1.338    0.09065    1.286
1.345    0.09283    1.291
1.351    0.09505    1.296
1.357    0.09731    1.301
1.363    0.0996    1.306
1.37    0.1019    1.311
1.376    0.1043    1.316
1.382    0.1067    1.321
1.389    0.1092    1.326
1.395    0.1117    1.33
1.401    0.1142    1.335
1.407    0.1168    1.34
1.414    0.1194    1.345
1.42    0.122    1.35
1.426    0.1247    1.355
1.433    0.1275    1.36
1.439    0.1303    1.365
1.445    0.1331    1.37
1.451    0.1359    1.375
1.458    0.1389    1.38
1.464    0.1418    1.384
1.47    0.1448    1.389
1.477    0.1478    1.394
1.483    0.1509    1.399
1.489    0.1541    1.404
1.495    0.1572    1.409
1.502    0.1605    1.413
1.508    0.1637    1.418
1.514    0.167    1.423
1.521    0.1704    1.428
1.527    0.1738    1.432
1.533    0.1772    1.437
1.539    0.1807    1.442
1.546    0.1843    1.446
1.552    0.1878    1.451
1.558    0.1915    1.456
1.565    0.1951    1.46
1.571    0.1989    1.465
1.577    0.2026    1.47
1.583    0.2065    1.474
1.59    0.2103    1.479
1.596    0.2142    1.483
1.602    0.2182    1.488
1.608    0.2222    1.492
1.615    0.2263    1.497
1.621    0.2304    1.501
1.627    0.2345    1.505
1.634    0.2387    1.51
1.64    0.243    1.514
1.646    0.2473    1.518
1.652    0.2516    1.523
1.659    0.256    1.527
1.665    0.2605    1.531
1.671    0.265    1.535
1.678    0.2695    1.539
1.684    0.2741    1.544
1.69    0.2787    1.548
1.696    0.2834    1.552
1.703    0.2881    1.556
1.709    0.2929    1.56
1.715    0.2978    1.563
1.722    0.3026    1.567
1.728    0.3076    1.571
1.734    0.3125    1.575
1.74    0.3176    1.579
1.747    0.3226    1.582
1.753    0.3278    1.586
1.759    0.3329    1.59
1.766    0.3381    1.593
1.772    0.3434    1.597
1.778    0.3487    1.6
1.784    0.3541    1.604
1.791    0.3595    1.607
1.797    0.3649    1.61
1.803    0.3704    1.614
1.81    0.376    1.617
1.816    0.3816    1.62
1.822    0.3872    1.623
1.828    0.3929    1.626
1.835    0.3986    1.629
1.841    0.4044    1.632
1.847    0.4102    1.635
1.854    0.4161    1.638
1.86    0.422    1.64
1.866    0.4279    1.643
1.872    0.4339    1.646
1.879    0.44    1.648
1.885    0.4461    1.651
1.891    0.4522    1.653
1.898    0.4584    1.655
1.904    0.4646    1.658
1.91    0.4709    1.66
1.916    0.4772    1.662
1.923    0.4835    1.664
1.929    0.4899    1.666
1.935    0.4963    1.668
1.942    0.5028    1.67
1.948    0.5093    1.671
1.954    0.5158    1.673
1.96    0.5224    1.674
1.967    0.529    1.676
1.973    0.5357    1.677
1.979    0.5424    1.679
1.985    0.5491    1.68
1.992    0.5559    1.681
1.998    0.5627    1.682
2.004    0.5695    1.683
2.011    0.5764    1.684
2.017    0.5833    1.685
2.023    0.5903    1.685
2.029    0.5973    1.686
2.036    0.6043    1.687
2.042    0.6113    1.687
2.048    0.6184    1.687
2.055    0.6255    1.687
2.061    0.6326    1.688
2.067    0.6398    1.688
2.073    0.647    1.688
2.08    0.6542    1.687
2.086    0.6615    1.687
2.092    0.6688    1.687
2.099    0.6761    1.686
2.105    0.6834    1.686
2.111    0.6908    1.685
2.117    0.6982    1.684
2.124    0.7056    1.683
2.13    0.713    1.682
2.136    0.7204    1.681
2.143    0.7279    1.68
2.149    0.7354    1.678
2.155    0.7429    1.677
2.161    0.7505    1.675
2.168    0.758    1.674
2.174    0.7656    1.672
2.18    0.7732    1.67
2.187    0.7808    1.668
2.193    0.7884    1.666
2.199    0.7961    1.664
2.205    0.8037    1.661
2.212    0.8114    1.659
2.218    0.8191    1.656
2.224    0.8268    1.653
2.231    0.8345    1.65
2.237    0.8422    1.647
2.243    0.8499    1.644
2.249    0.8576    1.641
2.256    0.8653    1.638
2.262    0.8731    1.634
2.268    0.8808    1.631
2.275    0.8886    1.627
2.281    0.8963    1.623
2.287    0.9041    1.619
2.293    0.9119    1.615
2.3    0.9196    1.611
2.306    0.9274    1.606
2.312    0.9351    1.602
2.318    0.9429    1.597
2.325    0.9507    1.593
2.331    0.9584    1.588
2.337    0.9662    1.583
2.344    0.9739    1.578
2.35    0.9816    1.572
2.356    0.9894    1.567
2.362    0.9971    1.561
2.369    1.005    1.556
2.375    1.013    1.55
2.381    1.02    1.544
2.388    1.028    1.538
2.394    1.036    1.532
2.4    1.043    1.525
2.406    1.051    1.519
2.413    1.058    1.512
2.419    1.066    1.506
2.425    1.074    1.499
2.432    1.081    1.492
2.438    1.089    1.485
2.444    1.096    1.477
2.45    1.104    1.47
2.457    1.111    1.462
2.463    1.119    1.455
2.469    1.126    1.447
2.476    1.134    1.439
2.482    1.141    1.431
2.488    1.148    1.423
2.494    1.156    1.414
2.501    1.163    1.406
2.507    1.17    1.397
2.513    1.177    1.389
2.52    1.185    1.38
2.526    1.192    1.371
2.532    1.199    1.362
2.538    1.206    1.353
2.545    1.213    1.343
2.551    1.22    1.334
2.557    1.227    1.324
2.564    1.234    1.314
2.57    1.241    1.304
2.576    1.248    1.294
2.582    1.254    1.284
2.589    1.261    1.274
2.595    1.268    1.264
2.601    1.275    1.253
2.608    1.281    1.242
2.614    1.288    1.232
2.62    1.294    1.221
