The following are the wave data
Position    Value
0    -0.917
0.314    -0.75
0.628    -0.509
0.942    -0.219
1.26    0.093
1.57    0.396
1.88    0.66
2.2    0.859
2.51    0.974
2.83    0.994
3.14    0.917
3.46    0.75
3.77    0.509
4.08    0.219
4.4    -0.093
4.71    -0.396
5.03    -0.66
5.34    -0.859
5.65    -0.974
5.97    -0.994
